name,slug,url,sku,price,categories,manufacturer,composition,cas_number,function,dosage_form,synonym,quality,einecs
"CARBOWAX™ SENTRY™ Polyethylene Glycol 3350 USP Powder (Inhibited), Macrogol 3350 Ph. Eur.",carbowax-sentry-polyethylene-glycol-3350-usp-powder-inhibited-macrogol-3350-ph-eur,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-3350-usp-powder-inhibited-macrogol-3350-ph-eur/,PE1839,0,,DOW,Polyethylene Glycol,25322-68-3,"gel capsules, liquid oral, solid oral / tablets, oral health, topical",powders,PEG-75,"USP-NF, Ph. Eur.",500-038-2
"CARBOWAX™ SENTRY™ Polyethylene Glycol 3350 USP Granular (Uninhibited), Macrogol 3350 Ph. Eur.",carbowax-sentry-polyethylene-glycol-3350-usp-granular-uninhibited-macrogol-3350-ph-eur,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-3350-usp-granular-uninhibited-macrogol-3350-ph-eur/,PE1838,0,,DOW,Polyethylene Glycol,25322-68-3,"gel capsules, liquid oral, solid oral / tablets, oral health, topical",granular,PEG-75,"USP-NF, Ph. Eur.",500-038-2
"CARBOWAX™ SENTRY™ Polyethylene Glycol 3350 USP Powder (Uninhibited), Macrogol 3350 Ph. Eur.",carbowax-sentry-polyethylene-glycol-3350-usp-powder-uninhibited-macrogol-3350-ph-eur,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-3350-usp-powder-uninhibited-macrogol-3350-ph-eur/,PE1837,0,,DOW,Polyethylene Glycol,25322-68-3,"for gel capsules, liquid oral, solid oral / tablets, oral health, topical",powders,PEG-75,"USP-NF, Ph. Eur.",500-038-2
CARBOWAX™ SENTRY™ Polyethylene Glycol 1450 NF Flake (Inhibited),carbowax-sentry-polyethylene-glycol-1450-nf-flake-inhibited,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-1450-nf-flake-inhibited/,PE1836,0,,DOW,Polyethylene Glycol,25322-68-3,"gel capsules, liquid oral, solid oral / tablets, oral health",flake,PEG-32,USP-NF,500-038-2
CARBOWAX™ SENTRY™ Polyethylene Glycol 1000 NF,carbowax-sentry-polyethylene-glycol-1000-nf,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-1000-nf/,PE1835,0,,DOW,Polyethylene Glycol,25322-68-3,"gel capsules, solid oral / tablets, oral health, topical, suppositories",fused solid,PEG-20,USP-NF,500-038-2
"CARBOWAX™ SENTRY™ Polyethylene Glycol 600 NF, Macrogol 600 Ph. Eur.",carbowax-sentry-polyethylene-glycol-600-nf-macrogol-600-ph-eur,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-600-nf-macrogol-600-ph-eur/,PE1834,0,,DOW,Polyethylene Glycol,25322-68-3,"gel capsules, liquid oral, solid oral / tablets, oral health, topical",Liquid,Macrogol 600; PEG-12,"USP-NF, Ph. Eur.",500-038-2
"CARBOWAX™ SENTRY™ Polyethylene Glycol 600 NF Low Aldehyde, Macrogol 600 Ph. Eur.",carbowax-sentry-polyethylene-glycol-600-nf-low-aldehyde-macrogol-600-ph-eur,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-600-nf-low-aldehyde-macrogol-600-ph-eur/,PE1833,0,,DOW,Polyethylene Glycol,25322-68-3,"gel capsules, liquid oral, solid oral / tablets, oral health, topical",Liquid,Macrogol 600; PEG-12,"USP-NF, Ph. Eur.",500-038-2
CARBOWAX™ SENTRY™ Polyethylene Glycol 540 Blend (Inhibited),carbowax-sentry-polyethylene-glycol-540-blend-inhibited,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-540-blend-inhibited/,PE1832,0,,DOW,Polyethylene Glycol,25322-68-3,"gel capsules, solid oral / tablets, topical, suppositories",fused solid,PEG-32; PEG-6,,500-038-2
"CARBOWAX™ SENTRY™ Polyethylene Glycol 400 NF, Macrogol 400 Ph. Eur.",carbowax-sentry-polyethylene-glycol-400-nf-macrogol-400-ph-eur,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-400-nf-macrogol-400-ph-eur/,PE1831,0,,DOW,Polyethylene Glycol,25322-68-3,"gel capsules, liquid oral, solid oral / tablets, oral health, topical",Liquid,Macrogol 400; PEG-8,"USP-NF, Ph. Eur.",500-038-2
"CARBOWAX™ SENTRY™ Polyethylene Glycol 400 NF Low Aldehyde, Macrogol 400 Ph. Eur.",carbowax-sentry-polyethylene-glycol-400-nf-low-aldehyde-macrogol-400-ph-eur,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-400-nf-low-aldehyde-macrogol-400-ph-eur/,PE1830,0,,DOW,Polyethylene Glycol,25322-68-3,"gel capsules, liquid oral, solid oral / tablets, oral health, topical",Liquid,Macrogol 400; PEG-8,"USP-NF, Ph. Eur.",500-038-2
Propylene Glycol (PG),propylene-glycol-pg-usp-ep,https://www.pharmaexcipients.com/product/propylene-glycol-pg-usp-ep/,PE1829,0,,DOW,Propylene Glycol,57-55-6,Topical Excipient,Liquid,PG; Propylene Glycol,"USP-NF, Ph. Eur.",200-338-0
VERSENE™ NA Chelating Agent,versene-na-chelating-agent,https://www.pharmaexcipients.com/product/versene-na-chelating-agent/,PE1828,0,,DOW,Disodium ethylenediaminetetraacetate dihydrate,6381-92-6,"gel capsules, liquid oral, solid oral / tablets, oral health, topical",powders,"Disodium EDTA FCC, Edetate Disodium USP","USP-NF, Ph. Eur.",205-358-3
"CARBOWAX™ SENTRY™ Polyethylene Glycol 300 NF, Macrogol 300 Ph. Eur.",carbowax-sentry-polyethylene-glycol-300-nf-macrogol-300-ph-eur,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-300-nf-macrogol-300-ph-eur/,PE1827,0,,DOW,macrogol; Polyethylene Glycol,25322-68-3,"gel capsules, liquid oral, solid oral / tablets, topical, suppositories",Liquid,Macrogol 300; PEG-6,"USP-NF, Ph. Eur.",500-038-2
"CARBOWAX™ SENTRY™ Polyethylene Glycol 300 NF Low Aldehyde, Macrogol 300 Ph. Eur.",carbowax-sentry-polyethylene-glycol-300-nf-low-aldehyde-macrogol-300-ph-eur,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-300-nf-low-aldehyde-macrogol-300-ph-eur/,PE1826,0,,DOW,macrogol; Polyethylene Glycol,25322-68-3,"gel capsules, liquid oral, solid oral / tablets, topical, suppositories",Liquid,PEG-6,"USP-NF, Ph. Eur.",500-038-2
Gasil® HP54CP,gasil-hp54cp,https://www.pharmaexcipients.com/product/gasil-hp54cp/,PE1825,0,,PQ,synthetic amorphous silica,112926-00-8,"glidant, anti-cake, moisture protection, tableting, coating, liquid carrying, API carrying, moisture activated dry granulation, sorbent, specialty excipient",powders,"silica, silicon dioxide, sio2, synthetic amorphous silica, SAS",USP,231-545-4
Gasil® HP33CP,gasil-hp33cp,https://www.pharmaexcipients.com/product/gasil-hp33cp/,PE1824,0,,PQ,synthetic amorphous silica,112926-00-8,"glidant, anti-cake, moisture protection, tableting, coating, liquid carrying, API carrying, moisture activated dry granulation, sorbent, specialty excipient",powders,"silica, silicon dioxide, sio2, synthetic amorphous silica, SAS",USP,231-545-4
Gasil® GM2FP,gasil-gm2fp,https://www.pharmaexcipients.com/product/gasil-gm2fp/,PE1823,0,,PQ,synthetic amorphous silica,112926-00-8,"moisture protection, sorbent, specialty excipient",powders,"silica, silicon dioxide, sio2, synthetic amorphous silica, SAS",USP,231-545-4
LIPOID PG 18:1/18:1 (DOPG),lipoid-pg-181-181-dopg-na,https://www.pharmaexcipients.com/product/lipoid-pg-181-181-dopg-na/,PE1395-1-1-3-2,0,,Lipoid,Pure DOPG-Na,67254-28-8,Component of Colloidal Structures,"Infusions, Injections, Depot Formulations",,,
LIPOID PC 16:0/16:0 (DPPC),lipoid-pc-160-160-dppc,https://www.pharmaexcipients.com/product/lipoid-pc-160-160-dppc/,PE1395-1-1-1-1,0,,Lipoid,Pure DPPC,63-89-8,Component of Colloidal Structures,"Infusions, Injections, Depot Formulations, Inhalable Formulations",,USP-NF,
